COD_FlashlightOff_CardName,"Flashlight(Off)",
COD_Gs_Ruins_DisasterBeason_StartJourneyCounter_GameName,"DisasterBeason_ToShipCounter",
COD_Gs_Ruins_ZombieInfectivity_Description,"在一切还来得及之前..",
COD_Gs_Ruins_ZombieInfectivity_GameName,"感染度",
COD_Gs_Ruins_ZombieInfectivity_Statuses[0].Description,"感觉自己开始发烧了..",
COD_Gs_Ruins_ZombieInfectivity_Statuses[0].GameName,"轻度感染",
COD_Gs_Ruins_ZombieInfectivity_Statuses[1].Description,"全身感觉没有力气..",
COD_Gs_Ruins_ZombieInfectivity_Statuses[1].GameName,"中度感染",
COD_Gs_Ruins_ZombieInfectivity_Statuses[2].Description,"咳咳咳...",
COD_Gs_Ruins_ZombieInfectivity_Statuses[2].GameName,"高度感染",
COD_Gs_Ruins_ZombieInfectivity_Statuses[3].Description,"前面一片血色..",
COD_Gs_Ruins_ZombieInfectivity_Statuses[3].GameName,"重度感染",
COD_Gs_Ruins_ZombieInfectivity_Statuses[4].Description,"僵尸化",
COD_Gs_ExerciseDegree_Description,"自我塑造的过程。",
COD_Gs_ExerciseDegree_GameName,"锻炼程度",
COD_Gs_ExerciseDegree_Statuses[0].GameName,"锻炼适度",
COD_Gs_ExerciseDegree_Statuses[1].GameName,"局部酸痛",
COD_Gs_ExerciseDegree_Statuses[2].GameName,"锻炼过度",
COD_Gs_ExerciseDegree_Statuses[3].GameName,"肌肉拉伤",
COD_Gs_Ruins_GoldCoins_GameName,"金币",
COD_Event_OrdinaryZombie_ShootingBlank_CardDescription,"我失手了！",
COD_Event_OrdinaryZombie_ShootingBlank_CardName,"进攻",
COD_Event_OrdinaryZombie_ShootingBlank_DismantleActions[0].ActionLog.LogText,"I hunted a macaque.",我狩猎到了一只猕猴。
COD_Event_OrdinaryZombie_ShootingBlank_DismantleActions[0].ActionName,"可恶",
COD_Event_OrdinaryZombie_DodgeFail_CardDescription,"在我离开之前它伤到了我！",
