"BirdMeat_DismantleActions[0].ActionName","食用","食用"
"CardActionPack_Cod_Exp_DecayCity_Actions[0].ActionName","Cod_PictureChange_Exp_DecayCity","Cod_PictureChange_Exp_DecayCity"
"CardActionPack_Cod_Exp_DecayCity_Actions[1].ActionName","Cod_PictureChange_Exp_DecayCity","Cod_PictureChange_Exp_DecayCity"
"CardActionPack_Cod_Exp_DecayCity_Actions[2].ActionName","Cod_PictureChange_Exp_DecayCity","Cod_PictureChange_Exp_DecayCity"
"CardActionPack_Cod_Exp_DecayCity_Actions[3].ActionName","Cod_PictureChange_Exp_DecayCity","Cod_PictureChange_Exp_DecayCity"
"CardActionPack_Cod_Exp_DecayCity_Actions[4].ActionName","Cod_PictureChange_Exp_DecayCity","Cod_PictureChange_Exp_DecayCity"
"CardActionPack_Cod_Exp_DecayCity_Actions[5].ActionName","Cod_PictureChange_Exp_DecayCity","Cod_PictureChange_Exp_DecayCity"
"CardActionPack_Cod_Exp_DecayCity_Actions[6].ActionName","Cod_PictureChange_Exp_DecayCity","Cod_PictureChange_Exp_DecayCity"
"CardActionPack_Cod_Exp_DecayCity_Actions[7].ActionName","Cod_PictureChange_Exp_DecayCity","Cod_PictureChange_Exp_DecayCity"
"CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Monitor_Actions[0].ActionName","Cod_PictureChange_Animal_Biocluster_Monitor","Cod_PictureChange_Animal_Biocluster_Monitor"
"CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Monitor_Actions[1].ActionName","Cod_PictureChange_Animal_Biocluster_Monitor","Cod_PictureChange_Animal_Biocluster_Monitor"
"CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Monitor_Actions[2].ActionName","Cod_PictureChange_Animal_Biocluster_Monitor","Cod_PictureChange_Animal_Biocluster_Monitor"
"CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Seagull_Actions[0].ActionName","Cod_PictureChange_Animal_Biocluster_Seagull","Cod_PictureChange_Animal_Biocluster_Seagull"
"CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Seagull_Actions[1].ActionName","Cod_PictureChange_Animal_Biocluster_Seagull","Cod_PictureChange_Animal_Biocluster_Seagull"
"CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Seagull_Actions[2].ActionName","Cod_PictureChange_Animal_Biocluster_Seagull","Cod_PictureChange_Animal_Biocluster_Seagull"
"CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Vultures_Actions[0].ActionName","Cod_PictureChange_Animal_Biocluster_Vultures1","Cod_PictureChange_Animal_Biocluster_Vultures1"
"CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Vultures_Actions[1].ActionName","Cod_PictureChange_Animal_Biocluster_Vultures2","Cod_PictureChange_Animal_Biocluster_Vultures2"
"CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Vultures_Actions[2].ActionName","Cod_PictureChange_Animal_Biocluster_Vultures3","Cod_PictureChange_Animal_Biocluster_Vultures3"
"CardActionPack_Cod_Nc_SpecialWeapon_Explosives_ExplosivesBox_CardInteractions[0].ActionName","引爆！","引爆！"
"CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[0].ActionName","Cod_PictureChange_Exp_ParkingLot_GasStation","Cod_PictureChange_Exp_ParkingLot_GasStation"
"CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[1].ActionNa1me","Cod_PictureChange_Exp_ParkingLot_GasStation","Cod_PictureChange_Exp_ParkingLot_GasStation"
"CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[2].ActionNa2me","Cod_PictureChange_Exp_ParkingLot_GasStation","Cod_PictureChange_Exp_ParkingLot_GasStation"
"CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[3].ActionNa3me","Cod_PictureChange_Exp_ParkingLot_GasStation","Cod_PictureChange_Exp_ParkingLot_GasStation"
"CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[4].ActionNa4me","Cod_PictureChange_Exp_ParkingLot_GasStation","Cod_PictureChange_Exp_ParkingLot_GasStation"
"CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[5].ActionNa5me","Cod_PictureChange_Exp_ParkingLot_GasStation","Cod_PictureChange_Exp_ParkingLot_GasStation"
"CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[6].ActionNa6me","Cod_PictureChange_Exp_ParkingLot_GasStation","Cod_PictureChange_Exp_ParkingLot_GasStation"
"CardActionPack_Cod_Path_ParkingLot_ParkingLotToGasStation_Actions[7].ActionNa7me","Cod_PictureChange_Exp_ParkingLot_GasStation","Cod_PictureChange_Exp_ParkingLot_GasStation"
"CardActionPack_Cod_Sta_AirDrop_DecayCity_Actions[0].ActionName","Sta_AirDrop_DecayCity","Sta_AirDrop_DecayCity"
"CardTag_AbandonedVehicles_InGameName","CardTag_AbandonedVehicles","CardTag_AbandonedVehicles"
"CardTag_Animal_Monitor_InGameName","CardTag_Animal_Monitor","CardTag_Animal_Monitor"
"CardTag_Animal_Seagull_InGameName","CardTag_Animal_Seagull","CardTag_Animal_Seagull"
"CardTag_Animal_Vultures_InGameName__T-6zFBOVnCgvHMn2zaafJDS6c+W1g=","CardTag_Animal_Vultures","CardTag_Animal_Vultures"
"CardTag_Animal_Vultures_InGameName__T-NGEaDeF8EYi4JQiL//CSLU+GndA=","CardTag_Decay","CardTag_Decay"
"CardTag_BasicMaterial_Iron_SecondaryMaterial_InGameName","CardTag_BasicMaterial_Iron_SecondaryMaterial","CardTag_BasicMaterial_Iron_SecondaryMaterial"
"CardTag_Bombable_InGameName","CardTag","CardTag"
"CardTag_Cod_RemoteWeapon_Silencer_InGameName","Cod_RemoteWeapon_Silencer","Cod_RemoteWeapon_Silencer"
"CardTag_ConsumeFood_InGameName","CardTag_ConsumeFood","CardTag_ConsumeFood"
"CardTag_DealSystem_Goods_InGameName","CardTag_DealSystem_Goods","CardTag_DealSystem_Goods"
"CardTag_Decomposable_InGameName","CardTag_Decomposable","CardTag_Decomposable"
"CardTag_ElectricalAppliance_InGameName","CardTag_ElectricalAppliance","CardTag_ElectricalAppliance"
"CardTag_ElectricPowerSource_InGameName","CardTag_ElectricPowerSource","CardTag_ElectricPowerSource"
"CardTag_Explosives_Grenade_InGameName","CardTag_Explosives_Grenade","CardTag_Explosives_Grenade"
"CardTag_FoodSource_InGameName","CardTag_FoodSource","CardTag_FoodSource"
"CardTag_InfectedMaterial_Meat_InGameName","CardTag_InfectedMaterial_Meat","CardTag_InfectedMaterial_Meat"
"CardTag_Vehicle_EquipmentRemoval_InGameName","CardTag_Vehicle_EquipmentRemoval","CardTag_Vehicle_EquipmentRemoval"
"CardTag_Vehicle_InGameName","CardTag_Vehicle","CardTag_Vehicle"
"CardTag_Vehicle_OilSuctionDevice_InGameName","CardTag_Vehicle_OilSuctionDevice","CardTag_Vehicle_OilSuctionDevice"
"CardTag_Vehicle_TireRemover_InGameName","Vehicle_TireRemover","Vehicle_TireRemover"
"CardTag_ZombieCorpse_InGameName","CardTag_ZombieCorpse","CardTag_ZombieCorpse"
"Cod_50铸币蓝图_BlueprintFinishedLog.LogText"," I'm mad","I mad"
"Cod_50铸币蓝图_CardDescription"," Five bags of coins","装入五袋铸币"
"Cod_50铸币蓝图_CardName"," load 5 Bag Coins","装入5袋铸币"
"Cod_50铸币蓝图_UnlockConditionsDesc"," Coinage required","需要铸币"
"Cod_79723866f3fc0c14bb0c12e2c3514e66_CardInteractions[0].ActionName"," Throw!","投掷！"
"Cod_Bp_Bandage_BlueprintFinishedLog.LogText"," I made a wood ash dressing","我做了一个草木灰敷料"
"Cod_Bp_Bandage_CardDescription"," Sterile wound dressings help prevent wound infection and speed up wound healing. \n","无菌伤口敷料，有助于防止伤口感染，并加快伤口愈合。\n"
"Cod_Bp_Bandage_CardName"," bandage","绷带"
"Cod_Bp_Bandage_MedicalBandages_BlueprintFinishedLog.LogText"," I made an ash dressing.","I made an ash dressing."
"Cod_Bp_Bandage_MedicalBandages_CardDescription"," It exudes a faint smell of disinfectant.","散发着淡淡消毒水的味道。"
"Cod_Bp_Bandage_MedicalBandages_CardName"," Medical bandage","医用绷带"
"Cod_Bp_Bandage_MedicalBandages_UnlockConditionsDesc"," Ash Needed","Ash Needed"
"Cod_Bp_Bandage_UnlockConditionsDesc"," Need Ashes","需要灰烬"
"Cod_Bp_Base_IronPillar_BlueprintFinishedLog.LogText"," I made a rainwater collector to collect rainwater.","我制作了雨水收集器来收集雨水。"
"Cod_Bp_Base_IronPillar_CardDescription"," Iron pillars on the coastal border. \n\n The yellow-brown rust is covered with red filamentous plants.","海岸边境上的铁柱。\n\n黄棕色锈迹上爬满了红色丝状植株。"
"Cod_Bp_Base_IronPillar_CardName"," Iron Pillar","铁柱"
"Cod_Bp_Base_IronPillar_UnlockConditionsDesc"," Not yet mastered the production method","尚未掌握制作方法"
