COD_Nc_Standard_Event_CardDescription||You can't find it anywhere. You seem to have lost its trail.
COD_Nc_Standard_Event_CardName||Fail
COD_Nc_Standard_Event_DismantleActions[0].ActionName||Continue
COD_Nc_Standard_Item_CardDescription||A pile of feathers.
COD_Nc_Standard_Item_CardName||Feathers
COD_Nc_Standard_Location_CardDescription||A pile of feathers.
COD_Nc_Standard_Location_CardName||Feathers
COD_Weather_Storm_CardDescription||I should stay away from the coast and seek shelter.
COD_Weather_Storm_CardName||Storm
COD_cod_1_AbandonedFarm_PerkDescription||生者在前，亡者在后。
COD_cod_1_AbandonedFarm_PerkName||废城
COD_Perk_Cod_Bullets_PerkDescription||三次机会。
COD_Perk_Cod_Bullets_PerkName||子弹
Cod_Perk_Cod_ExerciseDegree_PerkDescription||体态优良，以力克刚。
Cod_Perk_Cod_ExerciseDegree_PerkName||体格
DistrictTwo_En_BeginningPlot_PageStart_EncounterTitle||人间
DistrictTwo_En_BeginningPlot_PageStart_EnemyName||时光
DistrictTwo_En_BeginningPlot_PageStep_Five_EncounterTitle||人间
DistrictTwo_En_BeginningPlot_PageStep_Five_EnemyName||时光
DistrictTwo_En_BeginningPlot_PageStep_Four_EncounterTitle||人间
DistrictTwo_En_BeginningPlot_PageStep_Four_EnemyName||时光
DistrictTwo_En_BeginningPlot_PageStep_Six_EncounterTitle||人间
DistrictTwo_En_BeginningPlot_PageStep_Six_EnemyName||时光
DistrictTwo_En_BeginningPlot_PageStep_Three_EncounterTitle||人间
DistrictTwo_En_BeginningPlot_PageStep_Three_EnemyName||时光
DistrictTwo_En_BeginningPlot_PageStep_Two_EncounterTitle||人间
DistrictTwo_En_BeginningPlot_PageStep_Two_EnemyName||时光
Cod_En_DecayCity_Base_FirstEntry_Start_EncounterTitle||探索
Cod_En_DecayCity_Base_FirstEntry_Start_EnemyName||探索
Cod_En_DecayCity_Base_FirstEntry_PageStep_StrugglesFail_EncounterTitle||对抗
Cod_En_DecayCity_Base_FirstEntry_PageStep_StrugglesFail_EnemyName||对抗
Cod_En_DecayCity_Base_FirstEntry_PageStep_StrugglesSuccess_EncounterTitle||对抗
Cod_En_DecayCity_Base_FirstEntry_PageStep_StrugglesSuccess_EnemyName||对抗
testMod_test_EncounterTitle||对话测试
testMod_test_EnemyName||大对话测试
testMod_trade_EncounterTitle||Macaque Encounter
testMod_trade_EnemyActions[0].ActionLog.AlternateLogTexts[0]||Swinging its arms wildly, it lunges at you with its teeth bared!
testMod_trade_EnemyActions[0].ActionLog.AlternateLogTexts[1]||It thrashes about, arms flapping, and attempts to sink its teeth into you!
testMod_trade_EnemyActions[0].ActionLog.AlternateLogTexts[2]||Arms waving in a frenzy, it makes a bold attempt to bite you!
testMod_trade_EnemyActions[0].ActionLog.AlternateLogTexts[3]||With arms flying erratically, it tries to land a bite on you!
testMod_trade_EnemyActions[0].ActionLog.AlternateLogTexts[4]||It jerks its arms around in a flurry and aims for a bite!
testMod_trade_EnemyActions[0].ActionLog.AlternateLogTexts[5]||It lashes out with its arms, trying to snag you with a quick bite!
testMod_trade_EnemyActions[0].ActionLog.AlternateLogTexts[6]||Flapping its arms with intent, it lunges forward to nip at you!
testMod_trade_EnemyActions[0].ActionLog.AlternateLogTexts[7]||The macaque brandishes its arms and snaps its jaws in your direction!
testMod_trade_EnemyActions[0].ActionLog.AlternateLogTexts[8]||It thrashes its arms and lunges forward, teeth first!
testMod_trade_EnemyActions[0].ActionLog.AlternateLogTexts[9]||It whirls its arms and takes a snap at you with bared teeth!
testMod_trade_EnemyActions[0].ActionLog.LogText||It flails its arms at you and tries to go for a bite!
testMod_trade_EnemyActions[0].FailureLog.AlternateLogTexts[0]||You nimbly dodge to the side...
testMod_trade_EnemyActions[0].FailureLog.AlternateLogTexts[1]||You manage to evade just in time...
testMod_trade_EnemyActions[0].FailureLog.AlternateLogTexts[2]||With swift reflexes, you move out of harm's way...
testMod_trade_EnemyActions[0].FailureLog.AlternateLogTexts[3]||You deftly sidestep the incoming attack...
testMod_trade_EnemyActions[0].FailureLog.AlternateLogTexts[4]||You narrowly escape the impending bite...
testMod_trade_EnemyActions[0].FailureLog.AlternateLogTexts[5]||You skillfully avoid the strike...
testMod_trade_EnemyActions[0].FailureLog.AlternateLogTexts[6]||With quick thinking, you duck out of the way...
testMod_trade_EnemyActions[0].FailureLog.AlternateLogTexts[7]||You leap clear of the attack with a split second to spare...
testMod_trade_EnemyActions[0].FailureLog.AlternateLogTexts[8]||You adroitly dart away from the danger...
testMod_trade_EnemyActions[0].FailureLog.AlternateLogTexts[9]||With a swift maneuver, you avoid the potential wound...
testMod_trade_EnemyActions[0].FailureLog.LogText||You successfully get out of the way...
testMod_trade_EnemyActions[0].PlayerWounds.MediumWounds[0].WoundLog.LogText||The Macaque bit you!
testMod_trade_EnemyActions[0].PlayerWounds.MediumWounds[1].WoundLog.LogText||You've been seriously roughed up. This is gonna sting later.
testMod_trade_EnemyActions[0].PlayerWounds.MinorWounds[0].WoundLog.LogText||That Macaque hit is likely to leave a nasty bruise...
testMod_trade_EnemyActions[0].PlayerWounds.MinorWounds[1].WoundLog.LogText||The Macaque bit you!
testMod_trade_EnemyActions[0].PlayerWounds.MinorWounds[2].WoundLog.LogText||You got a abrasion while trying to defend yourself.
testMod_trade_EnemyActions[0].PlayerWounds.SeriousWounds[0].WoundLog.LogText||The Macaque bit you a few times. What a horrible creature.
testMod_trade_EnemyActions[0].PlayerWounds.UnharmedResults[0].WoundLog.LogText||Fortunately, the attack wasn't enough to hurt you.
testMod_trade_EnemyActions[0].SuccessLog.AlternateLogTexts[0]||A sudden sting of pain hits you...
testMod_trade_EnemyActions[0].SuccessLog.AlternateLogTexts[1]||A jolt of sharp discomfort surges through you...
testMod_trade_EnemyActions[0].SuccessLog.AlternateLogTexts[2]||You wince at a sudden burst of pain...
testMod_trade_EnemyActions[0].SuccessLog.AlternateLogTexts[3]||You grit your teeth against a flash of pain...
testMod_trade_EnemyActions[0].SuccessLog.AlternateLogTexts[4]||An unexpected pang of agony jolts you...
testMod_trade_EnemyActions[0].SuccessLog.AlternateLogTexts[5]||A searing pain abruptly shoots through you...
testMod_trade_EnemyActions[0].SuccessLog.AlternateLogTexts[6]||You are momentarily staggered by a sharp stab of pain...
testMod_trade_EnemyActions[0].SuccessLog.AlternateLogTexts[7]||A piercing discomfort takes hold...
testMod_trade_EnemyActions[0].SuccessLog.AlternateLogTexts[8]||You cringe as a harsh pain flares up...
testMod_trade_EnemyActions[0].SuccessLog.AlternateLogTexts[9]||An intense twinge of pain momentarily takes your breath away...
testMod_trade_EnemyActions[0].SuccessLog.LogText||You feel a sharp pain...
testMod_trade_EnemyActions[1].ActionLog.LogText||It turns around and tries to escape...
testMod_trade_EnemyActions[2].ActionLog.LogText||It turns around and tries to escape...
testMod_trade_EnemyGettingCloseLog.LogText||The Macaque charges at you!
testMod_trade_EnemyName||The Macaque
testMod_trade_EnemyWinEffects.ResultLog.LogText||The Macaque disappears into the foliage....
testMod_trade_PlayerWinEffects.ResultLog.LogText||The Macaque collapses on the floor.
testMod_trade_Special1Effects.ResultLog.LogText||Macaque runs away
testMod_trade_TieEffects.ResultLog.LogText||The Macaque disappears into the foliage....
testMod_trade1_EncounterTitle||Boar Encounter
testMod_trade1_EnemyActions[0].ActionLog.AlternateLogTexts[0]||The Boar lunges its head towards you with force...
testMod_trade1_EnemyActions[0].ActionLog.AlternateLogTexts[1]||The Boar thrusts its head in your direction with aggression...
testMod_trade1_EnemyActions[0].ActionLog.AlternateLogTexts[2]||The Boar's head jerks your way fiercely...
testMod_trade1_EnemyActions[0].ActionLog.AlternateLogTexts[3]||The Boar flings its head at you with rapid force...
testMod_trade1_EnemyActions[0].ActionLog.AlternateLogTexts[4]||With a forceful motion, the Boar tosses its head in your direction...
testMod_trade1_EnemyActions[0].ActionLog.AlternateLogTexts[5]||The Boar's head sways towards you with violent intent...
testMod_trade1_EnemyActions[0].ActionLog.AlternateLogTexts[6]||The Boar propels its head towards you in an aggressive display...
testMod_trade1_EnemyActions[0].ActionLog.AlternateLogTexts[7]||With a wild thrust, the Boar swings its head at you...
testMod_trade1_EnemyActions[0].ActionLog.AlternateLogTexts[8]||The Boar jerks its head with a powerful motion in your direction...
testMod_trade1_EnemyActions[0].ActionLog.AlternateLogTexts[9]||The Boar jolts its head at you, demonstrating its raw power...
testMod_trade1_EnemyActions[0].ActionLog.LogText||The Boar swings its head violently at you!
testMod_trade1_EnemyActions[0].FailureLog.AlternateLogTexts[0]||You nimbly dodge to the side...
testMod_trade1_EnemyActions[0].FailureLog.AlternateLogTexts[1]||You manage to evade just in time...
testMod_trade1_EnemyActions[0].FailureLog.AlternateLogTexts[2]||With swift reflexes, you move out of harm's way...
testMod_trade1_EnemyActions[0].FailureLog.AlternateLogTexts[3]||You deftly sidestep the incoming attack...
testMod_trade1_EnemyActions[0].FailureLog.AlternateLogTexts[4]||You narrowly escape the attack...
testMod_trade1_EnemyActions[0].FailureLog.AlternateLogTexts[5]||You skillfully avoid the strike...
testMod_trade1_EnemyActions[0].FailureLog.AlternateLogTexts[6]||With quick thinking, you duck out of the way...
testMod_trade1_EnemyActions[0].FailureLog.AlternateLogTexts[7]||You leap clear of the attack with a split second to spare...
testMod_trade1_EnemyActions[0].FailureLog.AlternateLogTexts[8]||You adroitly dart away from the danger...
testMod_trade1_EnemyActions[0].FailureLog.AlternateLogTexts[9]||With a swift maneuver, you avoid the potential wound...
testMod_trade1_EnemyActions[0].FailureLog.LogText||You successfully get out of the way...
testMod_trade1_EnemyActions[0].PlayerWounds.MediumWounds[0].WoundLog.LogText||Your arm was hit and is now throbbing in pain.
testMod_trade1_EnemyActions[0].PlayerWounds.MediumWounds[1].WoundLog.LogText||Your arm was hit and is now throbbing in pain.
testMod_trade1_EnemyActions[0].PlayerWounds.MediumWounds[2].WoundLog.LogText||Your leg was hit and is now throbbing in pain.
testMod_trade1_EnemyActions[0].PlayerWounds.MediumWounds[3].WoundLog.LogText||Your leg was hit and is now throbbing in pain.
testMod_trade1_EnemyActions[0].PlayerWounds.MediumWounds[4].WoundLog.LogText||You got a pretty ugly bite.
