Key,English,Chinese,IsDuplicate,IsNotCardKey,IsGameKey,CardDefault,SimpEn-English,SimpEn-Chinese,SimpCn-English,SimpCn-Chinese
BirdMeat_DismantleActions[0].ActionName,,食用,,,x,食用,,,,
CardActionPack_Cod_Exp_DecayCity_Actions[0].ActionName,,Cod_PictureChange_Exp_DecayCity,,,,Cod_PictureChange_Exp_DecayCity,,,,
CardActionPack_Cod_Exp_DecayCity_Actions[1].ActionName,,Cod_PictureChange_Exp_DecayCity,,,,Cod_PictureChange_Exp_DecayCity,,,,
CardActionPack_Cod_Exp_DecayCity_Actions[2].ActionName,,Cod_PictureChange_Exp_DecayCity,,,,Cod_PictureChange_Exp_DecayCity,,,,
CardActionPack_Cod_Exp_DecayCity_Actions[3].ActionName,,Cod_PictureChange_Exp_DecayCity,,,,Cod_PictureChange_Exp_DecayCity,,,,
CardActionPack_Cod_Exp_DecayCity_Actions[4].ActionName,,Cod_PictureChange_Exp_DecayCity,,,,Cod_PictureChange_Exp_DecayCity,,,,
CardActionPack_Cod_Exp_DecayCity_Actions[5].ActionName,,Cod_PictureChange_Exp_DecayCity,,,,Cod_PictureChange_Exp_DecayCity,,,,
CardActionPack_Cod_Exp_DecayCity_Actions[6].ActionName,,Cod_PictureChange_Exp_DecayCity,,,,Cod_PictureChange_Exp_DecayCity,,,,
CardActionPack_Cod_Exp_DecayCity_Actions[7].ActionName,,Cod_PictureChange_Exp_DecayCity,,,,Cod_PictureChange_Exp_DecayCity,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Monitor_Actions[0].ActionName,,Cod_PictureChange_Animal_Biocluster_Monitor,,,,Cod_PictureChange_Animal_Biocluster_Monitor,,,,
CardActionPack_Cod_Nc_Cod_Animal_Biocluster_Monitor_Actions[1].ActionName,,Cod_PictureChange_Animal_Biocluster_Monitor,,,,Cod_PictureChange_Animal_Biocluster_Monitor,,,,
